Entry_Date,Exit_Date,Symbol,Type,Strike,Spot,Premium,Exit_Price,Lots,Lot_Qty,Gross_PnL,Net_PnL,Exit_Reason,RV,RV_Acceleration_3D,IV,IV_Expansion_2D,Gap_Move,Regime,Position_Scale,Risk_Scaled,Entry_Window,Partial_PnL,Streak_Mult,Quality_Score,Spread_Proxy_Pct,Last_Delta
2025-06-23,2025-06-24,NIFTY,STRADDLE,24950.0,24971.899999999245,278.7,418.05,40,75,-418050.02,-421304.17,Stop Loss (1.5x),0.0988,-0.0031,0.1336,0.044,0.0056,LOW VOL,0.8498,True,T-3,0.0,1.0,8.5287,0.0523,0.0
2025-06-23,2025-06-25,BANKNIFTY,STRADDLE,56100.0,56059.350000000966,639.7,602.25,45,30,50557.52,47012.12,Time Exit,0.0983,0.0759,0.1329,0.0568,0.0034,LOW VOL,0.8545,True,T-3,0.0,1.0,8.0367,0.0285,-0.8195
2025-07-07,2025-07-10,NIFTY,STRADDLE,25450.0,25461.299999999996,229.25,89.8,55,75,575231.24,571062.76,Expiry Close + Partial,0.097,-0.0598,0.1312,-0.0538,0.0,LOW VOL,1.2374,False,T-3,198716.25,1.0,8.1618,0.0178,1.0
2025-07-14,2025-07-17,NIFTY,STRADDLE,25100.0,25082.300000000054,207.35,15.7,60,75,862425.03,858025.42,Profit Target (70%),0.0882,-0.0953,0.1203,-0.0311,0.0027,LOW VOL,1.25,False,T-3,0.0,1.0,7.7874,0.0559,-1.0
2025-07-21,2025-07-23,NIFTY,STRADDLE,25100.0,25090.699999999928,186.15,154.3,65,75,155268.72,150657.5,Time Exit,0.0788,-0.1013,0.1085,-0.1068,0.0049,LOW VOL,1.25,False,T-3,0.0,1.05,7.2521,0.1205,-0.6314
2025-07-28,2025-07-30,NIFTY,STRADDLE,24700.0,24680.89999999929,213.55,200.35,46,75,45539.98,42134.86,Time Exit,0.0697,-0.0866,0.0971,0.0675,0.0063,LOW VOL,0.875,True,T-3,0.0,1.05,7.9593,0.0408,-0.77
2025-07-28,2025-07-31,BANKNIFTY,STRADDLE,56100.0,56084.89999999911,569.8,427.35,43,35,214387.25,210950.92,Profit Lock Trail,0.0944,0.0088,0.128,0.0822,0.0079,LOW VOL,0.875,True,T-3,0.0,1.05,6.8622,0.0071,-0.1355
2025-08-04,2025-08-07,NIFTY,STRADDLE,24700.0,24722.75,237.0,177.75,67,75,297731.25,292594.86,Profit Lock Trail,0.0824,0.1113,0.113,0.0948,0.0064,LOW VOL,1.25,False,T-3,0.0,1.05,8.0107,0.0772,0.599
2025-08-11,2025-08-14,NIFTY,STRADDLE,24600.0,24585.05000000008,206.5,37.05,66,75,838777.51,833944.25,Profit Target (70%),0.0908,0.1158,0.1235,0.1085,0.0091,LOW VOL,1.1813,False,T-3,0.0,1.05,7.4325,0.1335,-1.0
2025-08-18,2025-08-20,NIFTY,STRADDLE,24900.0,24876.949999999884,221.1,184.8,72,75,196019.95,190629.04,Time Exit,0.0974,0.0949,0.1317,0.0545,0.01,LOW VOL,1.25,False,T-3,0.0,1.05,7.9028,0.0638,-0.6337
2025-08-22,2025-08-28,NIFTY,STRADDLE,24850.0,24870.100000000723,233.5,350.25,73,75,-639206.25,-644773.87,Stop Loss (1.5x),0.0969,-0.0,0.1311,-0.0048,0.0085,LOW VOL,1.25,False,T-3,0.0,1.05,8.1083,0.0478,0.4045
2025-09-04,2025-09-09,NIFTY,STRADDLE,24750.0,24734.30000000017,200.0,114.95,69,75,440133.75,435131.25,Expiry Close,0.0983,-0.0519,0.1329,-0.012,0.0008,LOW VOL,1.2201,False,T-3,0.0,1.0,7.8775,0.0288,-1.0
2025-09-11,2025-09-16,NIFTY,STRADDLE,25000.0,25005.5,190.75,231.8,72,75,-221669.97,-226815.04,Time Exit,0.085,-0.1292,0.1163,-0.0605,0.0013,LOW VOL,1.25,False,T-3,0.0,1.0,7.7069,0.04,-1.0
2025-09-18,2025-09-22,NIFTY,STRADDLE,25400.0,25423.600000000744,171.5,189.95,70,75,-96862.48,-101713.05,Time Exit,0.0812,-0.044,0.1115,0.0009,0.0037,LOW VOL,1.25,False,T-3,0.0,1.0,7.6574,0.0058,0.8221
2025-09-25,2025-09-29,BANKNIFTY,STRADDLE,55000.0,54976.20000000067,511.1,518.55,48,35,-12515.99,-16203.96,Time Exit,0.0693,-0.2264,0.0967,-0.2164,0.0026,LOW VOL,0.875,True,T-3,0.0,1.0,7.8691,0.091,0.9173
2025-09-25,2025-09-29,NIFTY,STRADDLE,24900.0,24890.85000000072,201.35,234.4,49,75,-121458.73,-125018.67,Time Exit,0.0663,-0.155,0.0928,-0.1338,0.0066,LOW VOL,0.875,True,T-3,0.0,1.0,7.829,0.0387,0.9627
2025-10-01,2025-10-06,NIFTY,STRADDLE,24850.0,24836.300000000127,191.5,261.95,63,75,-332876.28,-337383.53,Time Exit,0.0737,-0.0135,0.1021,0.0591,0.0092,LOW VOL,1.125,False,T-3,0.0,0.9,7.5931,0.0669,-0.9016
2025-10-09,2025-10-14,NIFTY,STRADDLE,25200.0,25181.800000000105,171.0,128.25,60,75,192375.0,188220.75,Profit Lock Trail,0.0788,0.0091,0.1086,0.0084,0.0054,LOW VOL,1.125,False,T-3,0.0,0.9,7.5507,0.0294,-0.1774
2025-10-15,2025-10-16,NIFTY,STRADDLE,25300.0,25323.550000000112,223.35,335.03,68,75,-569542.52,-574651.14,Stop Loss (1.5x),0.0802,0.0038,0.1102,0.0114,0.0071,LOW VOL,1.25,False,T-3,0.0,1.0,7.8648,0.068,0.0
2025-10-30,2025-11-04,NIFTY,STRADDLE,25900.0,25877.850000000777,246.45,300.15,63,75,-253732.5,-258629.21,Time Exit,0.0745,-0.0659,0.1031,0.082,0.0068,LOW VOL,1.25,False,T-3,0.0,1.0,8.1083,0.0545,1.0
2025-11-06,2025-11-11,NIFTY,STRADDLE,25500.0,25509.700000000026,218.1,191.25,63,75,126866.25,122170.47,Time Exit,0.0799,0.0492,0.1098,0.0449,0.0034,LOW VOL,1.25,False,T-3,0.0,1.0,7.8382,0.0598,-1.0
2025-11-13,2025-11-18,NIFTY,STRADDLE,25900.0,25879.149999999245,270.6,18.4,63,75,1191645.03,1186577.15,Profit Target (70%),0.0786,0.0101,0.1083,0.0048,0.0001,LOW VOL,1.25,False,T-3,0.0,1.0,8.5084,0.0211,-1.0
2025-11-20,2025-11-24,NIFTY,STRADDLE,26200.0,26192.14999999924,242.35,221.2,48,75,76140.0,72431.31,Time Exit,0.0714,0.0403,0.0993,0.0322,0.0054,LOW VOL,0.875,True,T-3,0.0,1.0,7.9001,0.0826,0.9066
2025-11-20,2025-11-25,BANKNIFTY,STRADDLE,59300.0,59347.700000000994,595.2,497.95,45,35,153168.76,149512.6,Time Exit,0.0695,-0.0167,0.0969,-0.003,0.0022,LOW VOL,0.875,True,T-3,0.0,1.0,7.5548,0.0448,1.0
2025-11-27,2025-12-02,NIFTY,STRADDLE,26200.0,26215.549999999974,219.15,176.05,66,75,213345.08,208417.89,Time Exit,0.0823,0.1079,0.1128,0.1401,0.0004,LOW VOL,1.1813,False,T-3,0.0,1.05,7.8799,0.042,1.0
2025-12-04,2025-12-09,NIFTY,STRADDLE,26050.0,26033.75,207.0,310.5,71,75,-551137.5,-556340.91,Stop Loss (1.5x),0.072,-0.0301,0.1,-0.0645,0.0018,LOW VOL,1.25,False,T-3,0.0,1.05,7.8133,0.0349,0.4211
2025-12-18,2025-12-22,NIFTY,STRADDLE,25800.0,25815.550000000083,200.0,300.0,68,75,-510000.0,-514930.0,Stop Loss (1.5x),0.0794,-0.0404,0.1093,-0.0578,0.0001,LOW VOL,1.25,False,T-3,0.0,1.0,7.5498,0.0774,-0.4634
2026-01-01,2026-01-05,NIFTY,STRADDLE,26150.0,26146.55000000013,160.0,240.0,75,65,-390000.0,-394920.0,Stop Loss (1.5x),0.0756,0.0275,0.1045,0.025,0.0006,LOW VOL,1.25,False,T-3,0.0,1.0,7.3353,0.0389,-0.4941
2026-01-14,2026-01-20,NIFTY,STRADDLE,25650.0,25665.60000000073,249.9,249.9,67,65,0.0,-4982.47,Trail to Breakeven,0.0761,-0.0479,0.1051,-0.028,0.0026,LOW VOL,1.125,False,T-3,0.0,0.9,8.2882,0.0292,0.3224
2026-01-21,2026-01-27,NIFTY,STRADDLE,25150.0,25157.5,315.95,22.85,48,65,914472.04,910593.39,Profit Target (70%),0.0801,0.0518,0.1101,0.0308,0.003,LOW VOL,0.7875,True,T-3,0.0,0.9,8.59,0.082,-1.0
2026-01-21,2026-01-27,BANKNIFTY,STRADDLE,58800.0,58800.29999999936,790.55,592.91,36,30,213448.5,210367.81,Profit Lock Trail,0.081,0.2451,0.1112,0.1901,0.0102,LOW VOL,0.6379,True,T-3,0.0,0.9,7.0709,0.0379,0.2758
2026-01-30,2026-02-01,NIFTY,STRADDLE,25300.0,25320.649999999237,394.45,591.68,82,65,-1051209.28,-1058462.91,Stop Loss (1.5x),0.0921,0.0057,0.1252,-0.0353,0.0039,LOW VOL,1.25,False,T-3,0.0,1.0,8.6267,0.0747,0.0
